Year,Date,Country,City,Deaths,Type,More info
,Dec. 25,Pakistan,Rawalpindi,14,truck bombs,Targeted Pervez Musharraf
,Nov. 20,Turkey,"British targets, Istanbul",32,truck bombs,Main article: 2003 Istanbul Bombings
,Nov. 15,Turkey,"Two synagogues, Istanbul",31,truck bombs,Main article: 2003 Istanbul Bombings
,Nov. 12,Iraq,Italian Military HQ in Nasiriyah,33,truck bomb,Main article: 2003 Nasiriyah bombing
,Nov. 8,Saudi Arabia,Riyadh,18,truck bomb,
,Oct. 27,Iraq,Baghdad,35,car bombs (4),Main article: 27 October 2003 Baghdad bombings
,Aug. 29,Iraq,"Imam Ali Mosque, Najaf",85,car bomb,Main article: Imam Ali Mosque bombing
,Aug. 25,India,Mumbai,52,car bombs (2),Main article: 25 August 2003 Mumbai bombings
,Aug. 19,Iraq,"United Nations Iraqi Headquarters, Baghdad",22,truck bomb,Main article: Canal Hotel bombing
,Aug. 7,Iraq,"Jordanian Embassy, Baghdad",19,truck bomb,Main article: 2003 Jordanian embassy bombing in Baghdad
,Aug. 5,Indonesia,Jakarta,12,car bomb,Main article: 2003 Marriott Hotel bombing
,Aug. 1,Russia,"Mozdok, North Ossetia–Alania",50,truck bomb,
,May 12,Saudi Arabia,Riyadh,35,car bombs (4),Main article: Riyadh compound bombings
,May 12,Russia,"Znamenskoye, Chechnya",59,truck bomb,Main article: 2003 Znamenskoye suicide bombing
2003,Feb. 7,Colombia,Bogotá,36,car bomb,Main article: 2003 El Nogal Club bombing
,Dec. 27,Russia,"Government buildings, Grozny, Chechnya",72,truck bombs,Main article: 2002 Grozny suicide bombing
,Nov. 28,Kenya,Hotel in Mombasa,13,car bomb,Main article: 2002 Mombasa attacks
,Oct. 21,Israel,Bus near Hadera,14,car bomb,
,Oct. 12,Indonesia,Bali,202,car bomb,Main article: 2002 Bali terrorist bombing
,September 5,Afghanistan,Kabul,30,car bomb,Main article: 2002 Kabul bombing
